Found 200 challengers from euw1
Found 2274 masters from euw1
Found 498 grandmasters from euw1
Found 205 DIAMOND I from euw1
Found 205 DIAMOND I from euw1
Found 205 DIAMOND I from euw1
Found 205 DIAMOND I from euw1
Found 205 DIAMOND I from euw1
Found 205 DIAMOND I from euw1
Found 205 DIAMOND I from euw1
Found 205 DIAMOND I from euw1
Found 205 DIAMOND I from euw1
Found 205 DIAMOND II from euw1
Found 205 DIAMOND II from euw1
Found 205 DIAMOND II from euw1
Found 205 DIAMOND II from euw1
Found 205 DIAMOND II from euw1
Found 205 DIAMOND II from euw1
Found 205 DIAMOND II from euw1
Found 205 DIAMOND II from euw1
Found 205 DIAMOND II from euw1
Found 205 DIAMOND III from euw1
Found 205 DIAMOND III from euw1
Found 205 DIAMOND III from euw1
Found 205 DIAMOND III from euw1
Found 205 DIAMOND III from euw1
Found 205 DIAMOND III from euw1
Found 205 DIAMOND III from euw1
Found 205 DIAMOND III from euw1
Found 205 DIAMOND III from euw1
Found 205 DIAMOND IV from euw1
Found 205 DIAMOND IV from euw1
Found 205 DIAMOND IV from euw1
Found 205 DIAMOND IV from euw1
Found 205 DIAMOND IV from euw1
Found 205 DIAMOND IV from euw1
Found 205 DIAMOND IV from euw1
Found 205 DIAMOND IV from euw1
Found 205 DIAMOND IV from euw1
Found 205 PLATINUM I from euw1
Found 205 PLATINUM I from euw1
Found 205 PLATINUM I from euw1
Found 205 PLATINUM I from euw1
Found 205 PLATINUM I from euw1
Found 205 PLATINUM I from euw1
Found 205 PLATINUM I from euw1
Found 205 PLATINUM I from euw1
Found 205 PLATINUM I from euw1
Found 205 PLATINUM II from euw1
Found 205 PLATINUM II from euw1
Found 205 PLATINUM II from euw1
Found 205 PLATINUM II from euw1
Found 205 PLATINUM II from euw1
Found 205 PLATINUM II from euw1
Found 205 PLATINUM II from euw1
Found 205 PLATINUM II from euw1
Found 205 PLATINUM II from euw1
Found 205 PLATINUM III from euw1
Found 205 PLATINUM III from euw1
Found 205 PLATINUM III from euw1
Found 205 PLATINUM III from euw1
Found 205 PLATINUM III from euw1
Found 205 PLATINUM III from euw1
Found 205 PLATINUM III from euw1
